"
  TickTick:To-do list & Tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu8II7JaYTd4hMsNdhxuUKWUDBuGgWX83XfFoi5LSqU=s32-rw","Akshay Malhotra","Show review history","October 26, 2022","This is a great todo list application. The only thing I would wish to have and probably the reason for one less star is text parsing. Right now only the date and label gets parsed. It would be great if it could parse the name of the list, the priority, and other things! Lastly, another feature I would love to see is to be able to see my tasks in another calendar application too. The calendar support as of now is limited to within the application","18 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1KnzzmCyguTBp7WkRRzA9fwS5cxryLBHmkUoWz=s32-rw-mo","Meghashree R K","Show review history","September 11, 2022","I've tried don't know how many to-do list and productivity apps, but by far this is the best! The app interface is very minimalistic and easy to use. The features on this app is insane! I was searching for todo list apps with in built pomodoro timer and this has it. Best part it has weekly view(free) & calendar view(only premium users)! And the windows app is also smooth and it has a floating timer. Great work by app developer's! I 100% recommend it!","18 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-l8I5IPs7xUlP2h-5nNu2NFzJl9s-gS_l785xNag=s32-rw","Shaun Shaju","","October 23, 2022","I really loved this app. By far the best productivity app in the market. I'm giving just 3 stars because of one major issue I'm facing. I am not getting notifications for my reminders consistently, even though I followed all the steps provided by the app. Team pls fix this issue because sending timely notifications is one of the most important feature when it comes to productivity.","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_4sJuTGEJEDe2b5ocuX9ZLMDbUqcFFbSe5iSpT8A=s32-rw","Panda Walker","","August 28, 2022","This app has everything I had been looking for. my only beef is that in the repeating tasks, task description is also copied to the upcoming tasks that are its repeat. I would like to put in details myself for each repeated copy and make them easily identifiable when I go look for when I did what or in case I miss one task, I know exactly what I was supposed to be doing the last day. Hope the developers look into it. Thanks","28 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9IKTgQ7y5LBlLmb2UkblCTWulBtQX3r6rYey3EJkU=s32-rw","AMISHA NARSINGANI","","July 6, 2022","Good checklist for tasks. Loved the widget settings, specially where you can tick off the completed tasks. Also the categorisation of tasks under multiple list tabs like work, personal, health, etc is wonderful. I need the app for habit tracking too but it doesn't track more than 5 habits, requires premium version for it. 5 is so less, maybe 10 could have been better.","41 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_FCEaiIjk0mouGJH_AswG8TD7ZG0Ic9hyxJuZh608=s32-rw","Sarvesh Patil","","February 1, 2021","This app is absolutely great. I have been a free user, and couldn't resist upgrading to premium. I did, but it lacks one feature. It doesn't have a feature of repeatedly reminding for habits. For example, if I want to set a goal of drinking water 8 glasses a day. It should remind me after consecutive 2 hours maybe, this way this app would have no match.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","September 27, 2019","This app has a great interface and it's been a delight to use. It is extremely helpful for me to combat my procrastination. Everytime I unlock my phone it's the first thing I see and it forces me to get more things done. Also really useful for a day planner and the app has a multitude of features that makes it useful everyone. One downside I have found is that the app is at first hard to navigate and it can be difficult to understand all the functions. Perhaps a small guide would help.","30 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_G2F5cyDjLhlb724YosZoL92h-vPKZVjf5vAvDuQ=s32-rw","Joab John","Show review history","May 11, 2022","So as far as to-do lists are concerned, this is (imo) the best you can have. The free version in and of itself is so good with it's tasks and subtasks and reminders etc. The paid version gives you a calendar which is very intuitive and simple. The only problem I have with tick tick is that I want instant syncing. So instant that when I tick off a task in the phone, it should instantly reflect in the pc. And for some inexplicable reason, that's not there yet.","112 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8z3BNRrCYi9K49tb89EMMKfdHl0FESEd4vyFkCKJw=s32-rw","Vedant Yogesh","Show review history","December 24, 2021","The app is really good. Here are the reasons: 1. The UI is simple and intuitive. Don't need tutorials to understand unless you really want to dig into it. 2. The free plan they have is pretty decent and even offers reminders and integrations which I wasn't able to find in other apps ( I've tried about 12 - 13) 3. I love the focus mode which blocks all distracting apps 4. The app is available on all platforms and has a consistent UI throughout making it a very accessible","155 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 24, 2018","The best to-do/reminder/day planner/Calender collaboration/recurring reminders app, if any out there - this is the best among all of them. Just makes doing and completing tasks easily. Highly customizable to the minutest details in setting reminders, to do lists and even in recurring reminders. Recurring reminders are absolutely the best in TickTick. Another great feature is if you don't want tasks of a particular tag to not show up in the daily task list, that too is an option. Works great. Best","11 people found this review helpful"
