"
  Zwart - Black Icon Pack","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu_f0xZLiWSkR_MHQV9UAKfEcNMBsKLhtIuhR0fg=s32-rw","Karthikeyan Kalaimani","Show review history","July 11, 2020","I don't know how to rate this. On the one hand, the black icons are excellent and look great. On the other hand, it doesn't have icons for every app (naturally). And the contrast between normal colored icons and these icons is just too jarring. It becomes pretty much unusable because of this. I uninstalled the icon pack after 10 minutes.","87 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9AXUuwWN56IklQqyemlb9FW55JTUOqF0O2Sqqe3Q=s32-rw","Prakhar Tripathi","","November 4, 2020","So good that it is hard to believe it is free! The aesthetics are on another level altogether and the adaptation for apps not originally part of the pack is incredibly consistent and thoughtful. Thank you for sharing your talent with the rest of us and making our screens look more beautiful than before!","78 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9BIUz6BvkYoIY_0cmSJBL1JedcszUt3q6W6S_z0g=s32-rw","Tybo","","August 24, 2022","It's really gd the only down side for me is there's no option to switch it to dark icons in dark mode some people just like there phone fully black so it would be nice if u could add that as a option.","24 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8xXcLqWaijGl1DUhkdaDj61oaXrXLtqtVYjWJofQ=s32-rw","HamHamHamHam","","October 9, 2022","This is a very good app, the icons are well designed but there's just one thing i want , and that is being able to change the blackness, i don't like a very dark black and i want something i little tint of gray, anyways ill give 4 stars","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu98hHqpHhX8D3cVu8tLaqVufz4hi55lBYt4TK9ZBg=s32-rw","Raine Gillingham","","November 22, 2021","Don't get me wrong, the icons here are great. But the problem is when I change the default app icon given by this app, after a while it will change to something completely different and unrelated. This happens randomly and yeah, it's an annoying bug. But other than that, the included wallpapers is a nice touch, there are little no ads inside the app, and it's easy to use. I am willing to change my review as soon as they fix it :)","95 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 18, 2019","I use it along with microsoft launcher and i can't live without it. Yes, it may be a bit difficult to see at times, especially with dark wallpapers (i have bing daily as my wallpaper, so it changes every day), but overall it's way better than the standard look. It turnes my mobile desktop from a chaotic mess into a neat and consistent masterpiece. An idea for another icon pack is to be like this but have white borders, so that they are consantly visible, and neat.","31 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9K_QFvv5aPldn4-Lp0CscslX3VF7oyIMuOkYYvzoQ=s32-rw","Adinia P","Show review history","May 28, 2021","It's a huge collection, and as others said, it'll benefit from an alphabetical index. But once everything is set up, the phone looks simply great. As for the request, it might be useful to put a line in the Help mentioning that you have to choose email once the bundle is ready, it confused me for a while.","71 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu97vTdyfuQrfue5s82XtEhgoJHkl7m4XrzHqjQ=s32-rw","Radowan Ullah Bhuiyan","","October 5, 2022","Could u plz add xos launcher plz I have xos launcher so I couldn't use this icons. So plz add xos launcher. Love the icons and some icons r missing.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_G-dMGvXkRoQiiHHTBjkuIaWB7izrjjNg1mAxeUQ=s32-rw","Jesus Velasquez","","September 24, 2022","I really like it, the only issue I have so far is that when I try to request an icon it doesn't work.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-70P0phNBFBacbDgTD9AU7srpfpDd221_xCZgHUw=s32-rw","bone burner","Show review history","June 24, 2022","AMOLED & ZWART-BLACK' DOES NOT WORK WELL TOGETHER BECAUSE OF LACK OF CONTRAST. ZWART BL' ONLY REPLACES SOME OF THE ORIGINAL ICONS, BUT IT IS FREE THANKS. I ELECT TO KEEP MY BATTERY SAVING AMOLED WALL PAPPER & KEEP ZWART-BLACK (ELEGANT).","36 people found this review helpful"
