"
  touchnotes","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu8yQ0dRNljwhUyntWPzWHenFMAXIQWR8dHq7cPFKQ=s32-rw","Pum Walters","Show review history","November 18, 2022","Does most handwriting note taking well. Zoom, edit, cut&paste, styles, etcetera. I like it. One gripe: palm detection (on a tablet) isn't too good, leading to random zoom, move, notes opening, and what not. Oh yeah, another gripe: drawing small things in max zoom is annoying; the pen changes to an eraser within a fraction of a second, making it impossible to work carefully. Is there a forum? I have a request: two- or three-finger tap gesture for undo (or some other gesture)","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_jmOLSleF3N6uBbr3d9K3BiCeQ_4jED-x_AaAv=s32-rw","Ander Emiliano Santos Ponce","","November 14, 2022","It was good at the very beginning, next it comes with serious bugs and almost every feature is premium (except obviously writing), but maybe it's the best (speaking about its features) app for notebook. I have only one reason why I didn't buy the premium (because if this problem didn't exist, it is a ★★★★★ app), the images sometimes dissapear, also the text and sometimes complete pages. The design isn't the best, but, again, is the most complete.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2leAIclIlztiwTTFkh6wnTNnhtoEVqznjVYaDS=s32-rw-mo","Tamer","","November 10, 2022","Very well designed app with good functionality. For me most difficult part is changing the color it should be much more straightforward. Because usually when we write we change color and delete. But i can only access 3 colors quickly for the other ones i need to scroll which is very inconvenient. The other improvement should be better search functionality not just file names and type writing recognition.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_9T4o_s5PRDLzoF0mRR0ukvWnfx_ehLIedsu_S7kI=s32-rw","Raisa Rabbani","Show review history","November 8, 2022","Edit: taking away two stars. I'm having a lot problem with it. It crashes A LOT . sometimes when I turn the page of a pdf it doesn't show. I have to close and open it again to see it. Also the page zoom lock feature don't work sometime even if i have the page locked it zooms out. also sometimes the pages of the pdf don't move. Help i donno what is wrong. New complain: doesn't let me sync a pdf flie and the edits I've made in it. My device it Samsung Galaxy tab A7","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_0DCo6yT5zsWEus-0xxhuRO10WmDA4pLpQWyFK4A=s32-rw","Sarah G","Show review history","September 23, 2022","This is one of the greatest note taking apps on Android tablets, save for Samsung Notes which is only available on Samsung devices. It's very easy to import pdfs, mark them up, select from numerous templates, and resized graph, lined, and dot paper per the desired size. There are a few cons. Google drive is not available to backup automatically, there is no clicking on a button on the stylus to erase, and shapes are awkward to use. Otherwise it's great for a university student","5 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8vflzla5gbEZ2Jcl_eHgoXMK6EgegaTuxjYiYtBQ=s32-rw","Amber Hodge","","September 24, 2022","This is the best note app I have found so far. MAJOR brownie points for being able to upload my own fonts I've purchased! Every note taking app I've tried doesn't have that option and it's disappointing. I LOVE this app so far. You can doodle, write, add images, voice, links, you name it. You can even save your drawings as stickers. You have the ability to add your digital notebooks and planner PDF files as well. When you're done, you can export them. Must download this app!","22 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9MF5RbFDNuhgNNn2kMcC-On_LlisJn5SjYDuGY=s32-rw","Christian Neil Diana","Show review history","November 3, 2022","One of the best notes app I downloaded for my tablet. This app seriously helped me fire up my productivity. For a free app, IT has A LOT of features for each elements of an e-notebook, yet it is straightforward and simply neat. If you are the type of person who just wants a simple, highly-functional, and easy-to-use notebook, go for this app. I never rate apps but I made an exception to this one. Kudos to the makers of this app. You're literally helping me to achieve an engineering degree.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9ACqVrxxbP6UBrGE1OQSqRYzax9BlN54UTRjdzIok=s32-rw","Nick Nida","","October 23, 2022","I like this app alot. I would use it constantly; but I never get an option to actual purchase any tools, only the notification that [ whatever item ] is a VIP service, but I cannot seem to find how to purchase it. So based on frustration I use different apps, instead of this one. I wish there was a one time purchase Pro version. I hate the hassle of pieces parts purchases. Even more- subscriptions.","9 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9JHuy3wvwR-3bFhm-rA_AL543v8OcWZ4iH1sgGnQ=s32-rw","Mahmoud Sadeghi","Show review history","October 4, 2022","UPDATE: the app has started crashing on different actions. For example, when using the selection tool. It really ruins the experience, and until t's fixed, I can only give 2 stars. This is an excellent app! One of the best in Playstore and almost on par with Samsung Notes (even on a Samsung tablet with SPen!)","30 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_OyqOenglICVQFehKhO94wd0P1peEqGbRG8SX99w=s32-rw","Nik","","October 31, 2022","Very good for taking notes, but imperfect. I cant geet the sync to work properly. I have all my notes on my tablet, press upload all. On my phone, only some of the notes appear, and even those cant be opened. Checking the online drive, some files are missing compared to backing up to a folder.","7 people found this review helpful"
